,artist,album,track
323,Dua Lipa,Be the One,Be the One
324,Luis Fonsi,VIDA,Despacito - Remix
325,Surfaces,Where the Light Is,Sunday Best
326,Labrinth,Imagination & the Misfit Kid,Something's Got To Give
327,Quinn XCII,From Michigan With Love,Life Must Go On
328,Robin Schulz,Sugar,Headlights (feat. Ilsey)
329,Elton John,Diamonds,Daniel - Remastered
330,John Mayer,Continuum,Slow Dancing in a Burning Room
331,Death Cab for Cutie,I Dreamt We Spoke Again,I Dreamt We Spoke Again - Louis the Child Remix
332,Cautious Clay,"Insecure: Music from the HBO Original Series, Season 3",Cold War
333,Macklemore & Ryan Lewis,The Heist,Can't Hold Us - feat. Ray Dalton
334,Red Hot Chili Peppers,Blood Sugar Sex Magik,Under the Bridge
335,Madison Beer,As She Pleases,Home with You
336,Cash Cash,Finest Hour (feat. Abir),Finest Hour (feat. Abir)
337,Lady Gaga,A Star Is Born Soundtrack,I Don't Know What Love Is
338,Sugar Ray,The Best Of Sugar Ray,When It's Over - Remastered
339,Bazzi,Soul Searching,Humble Beginnings
340,Whitley,The Submarine,More Than Life
341,Cage The Elephant,Social Cues,Social Cues
342,Jon Bellion,The Separation,2 Rocking Chairs
343,Passion Pit,Gossamer,Take a Walk
344,Third Eye Blind,A Collection,Semi-Charmed Life - 2006 Remaster
345,DJ Snake,You Know You Like It,You Know You Like It
346,Imagine Dragons,Evolve,Whatever It Takes
347,Grace Forsage,Smoke,Smoke
348,City and Colour,Bring Me Your Love (Special Edition),The Girl
349,Plain White T's,All That We Needed,Hey There Delilah
350,Macklemore & Ryan Lewis,The Heist [Deluxe Edition],Same Love (feat. Mary Lambert)
351,AJR,The Click,The Good Part
352,Quinn XCII,The Story of Us,Flare Guns
353,Twenty One Pilots,The Hype,The Hype - Alt Mix
354,Surfaces,Where the Light Is,This View
355,Vice,Obsession (feat. Jon Bellion),Obsession (feat. Jon Bellion)
356,Nicki Minaj,Yikes,Yikes
357,Gabe Dixon,The Gabe Dixon Band,All Will Be Well
358,Pink Sweat$,I Wanna Be Yours,I Wanna Be Yours
359,Marshmello,Silence,Silence
360,Iron & Wine,Our Endless Numbered Days,Each Coming Night
361,Lovelier Other,Hidden Shelters,Hidden Shelters
362,Post Malone,Hollywood's Bleeding,Goodbyes (feat. Young Thug)
363,Hozier,Hozier (Expanded Edition),Take Me to Church
364,Still Woozy,Lately EP,Lava
365,Christina Aguilera,Liberation,Deserve
366,Kim Petras,Can't Do Better,Can't Do Better
367,Kacey Musgraves,Golden Hour,"Oh, What A World"
368,Khalid,American Teen,Young Dumb & Broke
369,Peter Bjorn and John,Writer's Block,Young Folks
370,Lennon Stella,Three. Two. One.,Much Too Much
371,Eagles,The Very Best of the Eagles,Desperado - 2013 Remaster
372,DROELOE,Sunburn,Sunburn
373,Dua Lipa,Dua Lipa,Dreams
374,Noah Kahan,Busyhead,Hurt Somebody
375,Healy,Subluxe,Reckless
376,Tow'rs,Tow'rs,Belly of the Deepest Love
377,The Winery Dogs,DOG YEARS EP,Love Is Alive
378,Billie Eilish,dont smile at me,ocean eyes
379,The Chainsmokers,Sick Boy,This Feeling
380,Quinn XCII,Change of Scenery,Wounds
381,Dua Lipa,Thinking 'Bout You,Thinking 'Bout You - DECCO Remix
382,FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night
383,Whethan,Can't Hide,Can't Hide
384,Billie Eilish,everything i wanted,everything i wanted
385,Grouplove,Big Mess,Welcome to Your Life
386,Troye Sivan,Bloom,Postcard (feat. Gordi)
387,NEEDTOBREATHE,Brother,Brother (feat. Gavin DeGraw)
388,Lil Nas X,7 EP,Panini
389,Bazzi,COSMIC,3:15
390,Charli XCX,1999,1999
391,ODESZA,In Return,Say My Name (feat. Zyra)
392,The Wombats,Glitterbug,Greek Tragedy
393,Neon Trees,Picture Show,Everybody Talks
394,Tame Impala,It Might Be Time,It Might Be Time
395,Muse,Black Holes and Revelations,Starlight
396,NGHTMRE,FEELING GUD,FEELING GUD
397,Wings,Wingspan,Listen To What The Man Said
398,Russ,There's Really A Wolf,What They Want
399,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",This Is Gospel
400,Zhavia Ward,Deep Down,Deep Down
401,Billie Eilish,dont smile at me,bellyache
402,The Head and the Heart,Let's Be Still,Another Story
403,Bastille,Doom Days,Doom Days
404,The Beatles,Abbey Road,Oh! Darling - Remastered 2009
405,The Beatles,Help!,Yesterday - Remastered 2009
406,Beach Weather,Chit Chat,"Sex, Drugs, Etc."
407,Miniature Tigers,Tell It to the Volcano,Hot Venom
408,MAX,Love Me Less (feat. Quinn XCII),Love Me Less (feat. Quinn XCII)
409,Khalid,Free Spirit,Bad Luck
410,Rex Orange County,Apricot Princess,Nothing
411,Fifth Harmony,Fifth Harmony,Down (feat. Gucci Mane)
412,The Beatles,The Beatles 1967 - 1970,Hey Jude - Remastered 2009
413,Hippo Campus,Bashful Creatures,Suicide Saturday
414,Shawn Mendes,Illuminate,Mercy
415,Madison Beer,Dear Society,Dear Society
416,Terry Jacks,Radio Hits Of the '70s,Seasons in the Sun
417,Hippo Campus,Bambi,Doubt
418,ODESZA,A Moment Apart,Line Of Sight (feat. WYNNE & Mansionair)
419,Dua Lipa,Future Nostalgia,Levitating
420,Flume,Skin,Take a Chance (feat Little Dragon)
421,Dire Straits,Dire Straits,Sultans of Swing
422,Quinn XCII,The Story of Us,Always Been You
423,Flume,Friends,Friends
424,Lennon Stella,Three. Two. One.,Games
425,Hippo Campus,Bambi,Golden
426,Miguel,War & Leisure,Sky Walker (feat. Travis Scott)
427,Alexander 23,I'm Sorry I Love You,When I Die
428,Of Monsters and Men,My Head Is An Animal,King And Lionheart
429,Khalid,American Teen,Keep Me
430,Loud Luxury,Body,Body
431,Big Gigantic,Brighter Future,"All of Me (feat. Logic, ROZES)"
432,Gnarls Barkley,St. Elsewhere,Crazy
433,Lonely God,Marlboro Nights,Marlboro Nights
434,Bruno Mars,Unorthodox Jukebox,Young Girls
435,K.Flay,Every Where Is Some Where,Blood In The Cut
436,Kings of Leon,Only By The Night,Use Somebody
437,Bruno Mars,24K Magic,24K Magic
438,Halsey,hopeless fountain kingdom,Bad At Love
439,Jack Johnson,In Between Dreams,Banana Pancakes
440,One Direction,Made In The A.M.,Olivia
441,Spencer Sutherland,Tell Me,Tell Me
442,Twenty One Pilots,Vessel,The Run and Go
443,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Supposed To Be
444,Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon
445,Jon Bellion,Glory Sound Prep,Conversations with my Wife
446,Hoodie Allen,People Keep Talking,All About It (feat. Ed Sheeran)
447,AJR,Neotheater,The Entertainment's Here
448,Adele,21,Someone Like You
449,Jess Glynne,Always in Between,I'll Be There
450,Hippo Campus,Bambi,Bambi
451,Lennon Stella,"Love, me",Breakaway
452,Cherub,Year of the Caprese,Doses & Mimosas
453,Coldplay,X&Y,Talk
