endTime,artistName,trackName,msPlayed
2019-10-20 21:28,Louis The Child,It's Strange (feat. K.Flay),159482
2019-10-20 21:31,Snakehips,Don't Leave,214693
2019-10-20 21:31,Jonas Blue,Rise,5655
2019-10-20 21:34,The Naked And Famous,Young Blood,136213
2019-10-20 21:37,Natalie La Rose,Somebody,189906
2019-10-20 21:40,Calvin Harris,My Way,219159
2019-10-20 21:40,5 Seconds of Summer,Youngblood,7036
2019-10-20 21:44,Neon Trees,Animal,212293
2019-10-20 21:47,RL Grime,I Wanna Know,206727
2019-10-20 21:50,Lemaitre,Playing To Lose,204465
2019-10-20 21:54,Nick Jonas,Chains,203105
2019-10-20 21:58,Paris Blohm,Let Me Go,232109
2019-10-20 22:01,Ariana Grande,Break Free,33852
2019-10-20 22:01,Zedd,The Middle,2986
2019-10-20 22:01,Martin Garrix,In the Name of Love,195706
2019-10-20 22:05,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),221746
2019-10-20 22:08,Childish Gambino,Bonfire,41173
2019-10-20 22:08,Imagine Dragons,Shots - Broiler Remix,9066
2019-10-20 22:08,Portugal. The Man,Live in the Moment,165685
2019-10-20 22:09,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",14314
2019-10-20 22:57,Jon Bellion,The Internet,129728
2019-10-20 23:18,Sia,"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",195746
2019-10-20 23:23,Rex Orange County,Pluto Projector,267520
2019-10-20 23:23,Those Dancing Days,I'll Be Yours,16728
2019-10-21 00:08,I'm From Barcelona,Always Spring,75541
2019-10-21 00:14,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),38421
2019-10-21 18:02,Alan Gogoll,Owl's Friend (Remastered),26282
2019-10-21 18:03,Alan Gogoll,Owl's Friend (Remastered),11434
2019-10-21 18:06,Alan Gogoll,Owl's Friend (Remastered),120347
2019-10-21 18:09,Alan Gogoll,Echidna's Parade (Remastered),192168
2019-10-21 18:11,Alan Gogoll,Mulberry Mouse (Remastered),126037
2019-10-21 18:13,Alex Lustig,Free Form,36566
2019-10-21 18:13,Alan Gogoll,One Line Fox (Remastered),139226
2019-10-21 18:14,Pretty Lights,Finally Moving,4426
2019-10-21 18:14,Alan Gogoll,Echidna's Parade (Remastered),8853
2019-10-21 18:16,Ever So Blue,Fragment,153103
2019-10-21 18:18,Jen Brook,How Did We Wind Up Here?,122625
2019-10-21 18:20,Michel Brown,The First Rain,136063
2019-10-21 18:22,Joaquin Alejandro,Florentin,118360
2019-10-21 18:25,Matti Aalto,feather,170500
2019-10-21 18:27,Jutila,Old Habit,123750
2019-10-21 18:29,Sumsar,Amorous Rebound,109440
2019-10-21 18:31,Oneke,More than Close,162478
2019-10-21 18:33,Regina Mira,October,108770
2019-10-21 18:35,Berlioz,A Letter Home,139500
2019-10-21 18:37,Charles Bolt,Hush Now,109573
